repo_full_name,login,name,num_commits,additions,deletions,avg_additions_per_commit,avg_deletions_per_commit,is_bot
meshtastic/Meshtastic-Android,Kealper,Ken Piper,1,6,6,6.0,6.0,False
meshtastic/Meshtastic-Android,nreisbeck,nreisbeck,1,1,1,1.0,1.0,False
meshtastic/web,nikolya-prodigy,NIKOLYA PRODIGY,1,880,909,880.0,909.0,False
meshtastic/web,mammuthus,mammuthus,1,17,17,17.0,17.0,False
meshtastic/web,danditomaso,Dan Ditomaso,298,215933,146416,724.61,491.33,False
meshtastic/web,dependabot[bot],dependabot[bot],10,2488,1553,248.8,155.3,True
meshtastic/web,fresh3nough,fre$h,1,116,89,116.0,89.0,False
meshtastic/web,weebl2000,Wessel,2,85,63,42.5,31.5,False
meshtastic/web,rj-xy,rj-xy,1,3,0,3.0,0.0,False
meshtastic/web,Pmmlabs,Alexey Stepanov,2,105,9,52.5,4.5,False
meshtastic/web,dzienisz,Kamil Dzieniszewski,2,301,122,150.5,61.0,False
meshtastic/web,github-actions[bot],github-actions[bot],20,98278,29623,4913.9,1481.15,True
meshtastic/web,zeozeozeo,zeo,1,5,1,5.0,1.0,False
meshtastic/web,jsacrist,jsacrist,1,15,1,15.0,1.0,False
meshtastic/web,philon-,Jeremy Gallant,45,17835,7964,396.33,176.98,False
meshtastic/web,benallfree,Ben Allfree,1,2,1,2.0,1.0,False
meshtastic/web,Azarattum,Azarattum,1,1,0,1.0,0.0,False
meshtastic/web,dzienisz,Kamil Dzieniszewski,4,846,295,211.5,73.75,False
meshtastic/web,Nullvoid3771,Nullvoid3771,1,1,0,1.0,0.0,False
meshtastic/web,bergie,Henri Bergius,8,455,77,56.88,9.62,False
meshtastic/web,BMorgan1296,Brad,1,12,12,12.0,12.0,False
meshtastic/web,thebentern,Ben Meadors,1,57,3,57.0,3.0,False
meshtastic/web,eboye,Vasilj Milošević,1,18,8,18.0,8.0,False
meshtastic/web,Hunter275,Hunter Thornsberry,38,6530,2308,171.84,60.74,False
meshtastic/web,kimmydotzip,Kimberly Graham,1,77,3,77.0,3.0,False
meshtastic/web,jamon,jamon,1,1,0,1.0,0.0,False
meshtastic/web,philon-,philon-,9,1158,520,128.67,57.78,False
meshtastic/web,aredridel,Aria Stewart,1,0,81,0.0,81.0,False
meshtastic/web,vidplace7,Austin,3,12,2,4.0,0.67,False
meshtastic/web,philon-,Jeremy Gallant,10,867,185,86.7,18.5,False
meshtastic/web,James9074,James Thomas,18,1380,1318,76.67,73.22,False
meshtastic/web,bkimmel,bkimmel,8,245,90,30.62,11.25,False
meshtastic/web,varanauskas,Tadas Varanauskas,1,2,0,2.0,0.0,False
meshtastic/web,KomelT,Tilen Komel,1,0,2,0.0,2.0,False
meshtastic/web,KomelT,Tilen Komel,1,0,2,0.0,2.0,False
meshtastic/web,sachaw,Sacha Weatherstone,5,1327,1283,265.4,256.6,False
meshtastic/firmware,Kealper,Ken Piper,5,0,0,0.0,0.0,False
meshtastic/firmware,hafu,Hannes Fuchs,5,0,0,0.0,0.0,False
meshtastic/firmware,pdxlocations,,6,0,0,0.0,0.0,False
meshtastic/firmware,Solarvortx,Solanaceae,6,0,0,0.0,0.0,False
meshtastic/firmware,puzzled-pancake,,6,0,0,0.0,0.0,False
meshtastic/firmware,jcyrio,Cyrio,6,0,0,0.0,0.0,False
meshtastic/firmware,EricSesterhennX41,Eric Sesterhenn,6,0,0,0.0,0.0,False
meshtastic/firmware,aHVzY2g,,6,0,0,0.0,0.0,False
meshtastic/firmware,isseysandei,,6,0,0,0.0,0.0,False
meshtastic/firmware,jake-b,,6,0,0,0.0,0.0,False
meshtastic/firmware,mehuman,Mark Huson,6,0,0,0.0,0.0,False
meshtastic/firmware,erayd,Erayd,6,0,0,0.0,0.0,False
meshtastic/firmware,IZ1IVA,,7,0,0,0.0,0.0,False
meshtastic/firmware,loodydo,,7,0,0,0.0,0.0,False
meshtastic/firmware,charlieh0tel,Christopher Hoover,7,0,0,0.0,0.0,False
meshtastic/firmware,lesykm,Mykhailo Lesyk,7,0,0,0.0,0.0,False
meshtastic/firmware,jasonbcox,Jason B. Cox,7,0,0,0.0,0.0,False
meshtastic/firmware,mskvortsov,,8,0,0,0.0,0.0,False
meshtastic/firmware,claesg,,8,0,0,0.0,0.0,False
meshtastic/firmware,augustozanellato,Augusto Zanellato,8,0,0,0.0,0.0,False
meshtastic/firmware,Krezalis,Krezalis,8,0,0,0.0,0.0,False
meshtastic/firmware,slavino,Slavomir Hustaty,8,0,0,0.0,0.0,False
meshtastic/firmware,thoherr,Thomas Herrmann,8,0,0,0.0,0.0,False
meshtastic/firmware,cpatulea,Catalin Patulea,8,0,0,0.0,0.0,False
meshtastic/firmware,mrvdb,Marcel van der Boom,8,0,0,0.0,0.0,False
meshtastic/firmware,And137,,9,0,0,0.0,0.0,False
meshtastic/firmware,RCGV1,Benjamin Faershtein,9,0,0,0.0,0.0,False
meshtastic/firmware,Heltec-Aaron-Lee,Aaron.Lee,9,0,0,0.0,0.0,False
meshtastic/firmware,macvenez,Marco Veneziano,9,0,0,0.0,0.0,False
meshtastic/firmware,DaneEvans,Dane Evans,9,0,0,0.0,0.0,False
meshtastic/firmware,wnagele,Wolfgang Nagele,9,0,0,0.0,0.0,False
meshtastic/firmware,titan098,David Ellefsen,9,0,0,0.0,0.0,False
meshtastic/firmware,Dr-Gandalf,Jorge Castillo,10,0,0,0.0,0.0,False
meshtastic/firmware,GPSFan,Ken McGuire,10,0,0,0.0,0.0,False
meshtastic/firmware,linagee,,10,0,0,0.0,0.0,False
meshtastic/firmware,RicInNewMexico,Ric In New Mexico,11,0,0,0.0,0.0,False
meshtastic/firmware,dependabot[bot],,11,0,0,0.0,0.0,True
meshtastic/firmware,syund,,11,0,0,0.0,0.0,False
meshtastic/firmware,ThatKalle,Kalle Lilja,11,0,0,0.0,0.0,False
meshtastic/firmware,mrekin,Max,11,0,0,0.0,0.0,False
meshtastic/firmware,tavdog,Tavis,11,0,0,0.0,0.0,False
meshtastic/firmware,oseiler2,Oliver Seiler,11,0,0,0.0,0.0,False
meshtastic/firmware,Dafeman,,12,0,0,0.0,0.0,False
meshtastic/firmware,BeardyWalrus,,12,0,0,0.0,0.0,False
meshtastic/firmware,scruplelesswizard,Jason Murray,14,0,0,0.0,0.0,False
meshtastic/firmware,dhskinner,David,14,0,0,0.0,0.0,False
meshtastic/firmware,whywilson,Wilson,15,0,0,0.0,0.0,False
meshtastic/firmware,oscgonfer,oscgonfer,15,0,0,0.0,0.0,False
meshtastic/firmware,garthvh,Garth Vander Houwen,15,0,0,0.0,0.0,False
meshtastic/firmware,girtsf,Girts,15,0,0,0.0,0.0,False
meshtastic/firmware,vfurman-gh,,16,0,0,0.0,0.0,False
meshtastic/firmware,weebl2000,Wessel,16,0,0,0.0,0.0,False
meshtastic/firmware,DanielCao0,Daniel.Cao,17,0,0,0.0,0.0,False
meshtastic/firmware,gjelsoe,Michael Gjelsø,17,0,0,0.0,0.0,False
meshtastic/firmware,joshpirihi,,18,0,0,0.0,0.0,False
meshtastic/firmware,Dylanliacc,dylanli,19,0,0,0.0,0.0,False
meshtastic/firmware,beegee-tokyo,Bernd Giesecke,19,0,0,0.0,0.0,False
meshtastic/firmware,code8buster,,20,0,0,0.0,0.0,False
meshtastic/firmware,h3lix1,Clive Blackledge,20,0,0,0.0,0.0,False
meshtastic/firmware,Links2004,Markus,20,0,0,0.0,0.0,False
meshtastic/firmware,S5NC,,21,0,0,0.0,0.0,False
meshtastic/firmware,costonisp,co sto,21,0,0,0.0,0.0,False
meshtastic/firmware,Mictronics,,23,0,0,0.0,0.0,False
meshtastic/firmware,prampec,Balázs Kelemen,26,0,0,0.0,0.0,False
meshtastic/firmware,Quency-D,,27,0,0,0.0,0.0,False
meshtastic/firmware,D4rk4,Dmitry Galenko,27,0,0,0.0,0.0,False
meshtastic/firmware,Stary2001,Chloe Bethel,29,0,0,0.0,0.0,False
meshtastic/firmware,andrekir,Andre K,30,0,0,0.0,0.0,False
meshtastic/firmware,osmanovv,Vladislav Osmanov,31,0,0,0.0,0.0,False
meshtastic/firmware,WillyJL,WillyJL,32,0,0,0.0,0.0,False
meshtastic/firmware,rcarteraz,rcarteraz,34,0,0,0.0,0.0,False
meshtastic/firmware,Professr,Ellie H,34,0,0,0.0,0.0,False
meshtastic/firmware,garethhcoleman,Gareth Coleman,35,0,0,0.0,0.0,False
meshtastic/firmware,Jorropo,,36,0,0,0.0,0.0,False
meshtastic/firmware,crossan007,Charles Crossan,36,0,0,0.0,0.0,False
meshtastic/firmware,compumike,Mike Robbins,36,0,0,0.0,0.0,False
meshtastic/firmware,esev,Eric Severance,37,0,0,0.0,0.0,False
meshtastic/firmware,a-f-G-U-C,,38,0,0,0.0,0.0,False
meshtastic/firmware,ndoo,Andrew Yong,41,0,0,0.0,0.0,False
meshtastic/firmware,NomDeTom,Tom,45,0,0,0.0,0.0,False
meshtastic/firmware,lewisxhe,Lewis He,59,0,0,0.0,0.0,False
meshtastic/firmware,mkinney,,59,0,0,0.0,0.0,False
meshtastic/firmware,HarukiToreda,HarukiToreda,66,0,0,0.0,0.0,False
meshtastic/firmware,ford-jones,inertia,91,0,0,0.0,0.0,False
