repo_full_name,change_request_acceptance_ratio,bus_factor,bus_factor_no_bots,bot_contributor_count,bot_commit_count,contribution_types,organizational_diversity,newcomer_friendly_labels,total_labels,release_frequency_per_month,fork_count,burstiness_cv,burstiness_mean,burstiness_std,median_defect_resolution_days,osi_approved_license,elephant_factor,elephant_factor_no_bots,contributor_new_count,contributor_casual_count,contributor_regular_count,median_time_to_first_response_issues_hours,median_time_to_first_response_prs_hours,time_to_first_response_issues_sample_size,time_to_first_response_prs_sample_size,readme_last_updated,contributing_last_updated,stale_issue_ratio,stale_issue_count,open_issue_count,median_pr_review_turnaround_hours,avg_review_comments_per_pr,herfindahl_hirschman_index,hhi_no_bots,hhi_known_orgs_only,unknown_org_contributor_count,contributor_org_types,dora_deployment_frequency_per_month,dora_median_lead_time_days,dora_change_failure_rate,core_contributor_count,periphery_contributor_count,core_periphery_ratio,network_density,avg_degree_centrality
codeforamerica/vita-min,0.8448,4,4,1,19,code_commits=500;pull_requests=6275;issues=0,Unknown=15;Code for America=2;newjersey=1,help wanted,10,13.04,14,,,,,True,1,1,0,0,0,,20.0,3,100,2024-11-27T20:13:44+00:00,,,0,0,17.4,0.5,5856.5,1630.4,7944.8,15,government=0;academic=0;nonprofit=0;company=8;unknown=11,12.0,1.0,0.0162,4,4,0.5,0.4643,0.4643
codeforamerica/tofu-modules-aws-serverless-database,0.973,1,1,1,11,code_commits=40;pull_requests=37;issues=0,codeforamerica=1;Unknown=1,good first issue;help wanted,9,0.72,0,,,,,True,1,1,0,0,0,,0.1,0,37,2026-03-12T20:23:06+00:00,2024-12-05T18:33:38+00:00,,0,0,0.0,0.25,9334.1,9334.1,10000.0,1,government=0;academic=0;nonprofit=0;company=1;unknown=1,0.71,21.4,0.0,1,5,0.1667,0.3333,0.3333
codeforamerica/tax-benefits-backend,0.9227,3,3,0,0,code_commits=182;pull_requests=194;issues=0,Unknown=9;codeforamerica=2,good first issue;help wanted,10,,0,,,,,True,1,1,0,0,0,,1.8,0,100,2025-01-08T20:43:09+00:00,,,0,0,0.2,0.38,6222.7,1774.1,10000.0,9,government=0;academic=0;nonprofit=0;company=6;unknown=5,,,0.0056,7,8,0.4667,0.2762,0.2762
codeforamerica/pya,0.7365,2,2,1,84,code_commits=256;pull_requests=315;issues=0,Unknown=9;Code for America=1,good first issue;help wanted,13,5.0,0,,,,,False,1,1,0,0,0,,1.4,0,100,2025-08-05T20:10:41+00:00,,,0,0,1.4,0.2,9884.4,3841.2,10000.0,9,government=0;academic=0;nonprofit=0;company=6;unknown=4,3.34,0.2,0.0345,4,7,0.3636,0.2909,0.2909
codeforamerica/honeycrisp-gem,0.8051,5,4,1,29,code_commits=415;pull_requests=236;issues=0,"Unknown=31;Software Engineer @ Travis CI=1;navapbc=2;Binti=1;engineer & ux research consultant, topographic llc=2;Code for America=2;Regrow=1",good first issue;help wanted,28,,1,,,,47.6,False,1,1,0,0,0,466.7,3.0,100,100,2026-01-08T18:42:24+00:00,,1.0,49,49,2.9,0.32,4500.1,1550.7,5205.2,31,government=0;academic=2;nonprofit=3;company=16;unknown=27,,,0.0105,7,13,0.35,0.1263,0.1263
codeforamerica/asap_pdf,0.7174,1,1,1,93,code_commits=500;pull_requests=414;issues=0,Unknown=3;Code for America=1,good first issue;help wanted,14,,7,,,,,True,1,1,0,0,0,46.3,,4,100,2026-04-09T15:00:06+00:00,,1.0,3,3,22.3,0.46,6343.8,6098.9,10000.0,3,government=1;academic=0;nonprofit=0;company=2;unknown=1,,,0.0034,1,3,0.25,0.5,0.5
codeforamerica/cmr-maryland-eligibility-determination,1.0,1,1,0,0,code_commits=49;pull_requests=19;issues=0,Unknown=2,good first issue;help wanted,9,,0,,,,,False,1,1,0,0,0,,,0,19,2025-11-26T19:41:37+00:00,,,0,0,,0.0,10000.0,10000.0,,2,government=0;academic=0;nonprofit=0;company=0;unknown=2,,,0.0,0,0,,,
codeforamerica/document-transfer-service,0.75,1,1,0,0,code_commits=13;pull_requests=16;issues=0,codeforamerica=2,good first issue;help wanted,10,,1,,,,,True,1,1,0,0,0,,52.5,1,16,2024-10-02T17:41:26+00:00,,1.0,1,1,47.0,0.5,10000.0,10000.0,10000.0,0,government=0;academic=0;nonprofit=0;company=2;unknown=0,,,0.0,1,4,0.2,0.4,0.4
markov-root/atlas,0.5,1,1,0,0,code_commits=48;pull_requests=2;issues=0,Unknown=2,good first issue;help wanted,9,,5,,,,236.1,False,1,1,0,0,0,,,4,2,,,0.0,0,1,,0.0,10000.0,5000.0,,2,government=0;academic=0;nonprofit=0;company=0;unknown=3,,,0.0,0,0,,,
fvialibre/heseia-sentence-bias-dataset,,1,1,0,0,code_commits=9;pull_requests=0;issues=0,Unknown=1,good first issue;help wanted,9,,0,,,,,False,1,1,0,0,0,,,0,0,2025-09-11T22:00:12+00:00,,,0,0,,,10000.0,10000.0,,1,government=0;academic=0;nonprofit=0;company=1;unknown=0,,,,0,0,,,
codeforjapan/BirdXplorer,0.9692,2,2,2,15,code_commits=500;pull_requests=130;issues=0,"Unknown=5;STORES, Inc.=1",good first issue;help wanted,10,,4,,,,,True,1,1,0,0,0,47.6,7.9,100,100,2024-11-01T12:53:21+00:00,,0.5,2,4,1.0,0.06,8350.2,3853.7,10000.0,5,government=0;academic=0;nonprofit=0;company=1;unknown=5,,,0.0,2,4,0.3333,0.3333,0.3333
meshtastic/Meshtastic-Android,0.9245,1,1,2,142,code_commits=500;pull_requests=3654;issues=0,MobileMobile LLC=1;Unknown=6;DSDC Software=1;wustl=1;AllGamer=1,good first issue;help wanted,38,3.44,441,,,,2.2,False,1,1,0,0,0,2.6,0.7,100,100,2026-04-01T20:21:25+00:00,2026-03-27T17:06:19+00:00,0.2692,14,52,0.7,0.08,9506.6,9504.2,9830.5,6,government=0;academic=0;nonprofit=0;company=7;unknown=3,3.36,6.1,0.0083,0,2,0.0,1.0,1.0
meshtastic/web,0.8204,1,1,2,30,code_commits=500;pull_requests=607;issues=0,Russia=1;Unknown=27;NoCopyPaste=1;hire me!=1;Cruise=1;Bitlocus=1,good first issue;help wanted,21,0.75,275,,,,11.4,False,1,1,0,0,0,47.6,0.0,100,100,2025-12-05T03:59:37+00:00,,0.58,29,50,0.0,0.75,9100.6,5327.8,6776.9,27,government=0;academic=0;nonprofit=6;company=15;unknown=11,0.21,41.5,0.0241,3,9,0.25,0.2424,0.2424
meshtastic/firmware,0.8278,3,3,3,782,code_commits=12758;pull_requests=6155;issues=0,"AllGamer=1;Unknown=77;Erayd LTD=1;Murgatroid Heavy Industries, Ltd.=1;Exxeta=1;42ways GmbH, Teleteach GmbH=1;HelTecAutomation=1;Gone Epic=1;cognitiva.la=1;Weyr Associates=1;RAKWireless=1;Seeed=1;Privat=1;MonteOps=1;TAAAK-srl=1;CircuitLab & HeyOnCall=1;RGE Digital=1;Samoa House Library=1;Incom Systems=1;Geeksville Industries=1",good first issue;help wanted,38,3.5,2253,0.46,59.48,27.53,8.4,False,1,1,0,72,28,0.0,2.7,100,100,2025-11-20T12:14:29+00:00,2024-09-04T22:33:28+00:00,0.3398,88,259,2.7,0.52,5734.8,1326.3,5097.4,77,government=0;academic=0;nonprofit=13;company=32;unknown=52,3.46,6.2,0.0167,10,21,0.3226,0.1376,0.1376
civiform/civiform,0.8914,2,3,3,264,code_commits=500;pull_requests=8719;issues=0,Unknown=12;Exygy=1,good first issue;up-for-grabs,71,3.51,89,,,,13.5,True,1,1,0,0,0,16.3,17.9,100,100,2026-02-10T22:09:07+00:00,2024-01-09T22:48:40+00:00,0.6861,588,857,25.2,0.2,8959.0,1420.6,10000.0,12,government=0;academic=0;nonprofit=0;company=2;unknown=11,2.47,7.0,0.0086,6,10,0.375,0.2583,0.2583
iiab/iiab,0.8677,1,1,0,0,code_commits=14544;pull_requests=2774;issues=0,Unknown=20;GitHub=2;Full-Stack Developer=1;Natural Innovation=1;Self-employed=1;SwITNet=1;Unleash Kids!=1,help wanted,13,1.01,130,0.91,29.6,27.07,10.6,False,1,1,7,8,12,2.6,2.1,100,100,2026-04-12T03:03:10+00:00,2024-11-19T22:00:50+00:00,0.8978,281,313,1.9,0.2,5841.7,5444.9,9010.6,20,government=0;academic=1;nonprofit=2;company=11;unknown=13,0.99,5.6,0.0312,1,6,0.1429,0.7143,0.7143
