repo_full_name,total_issues,open_issues,closed_issues,avg_comments_per_issue,median_time_to_close_days,unique_openers,unique_closers,top_openers,top_closers
DemocracyClub/UK-Polling-Stations,3667,95,3572,0.46,7.72,20,12,polling-bot-4000=2189;chris48s=1187;davidmiller=92;symroe=54;GeoWill=39;JoeMitchell=37;pmk01=32;andylolz=11;PhilRumens=7;alexdutton=5;VirginiaDooley=4;awdem=2;handelaar=1;jcampbell05=1;BenJam=1;mvl22=1;pyup-bot=1;smsmith97=1;michaeljcollinsuk=1;Bekabyx=1,chris48s=1214;GeoWill=536;symroe=170;pmk01=29;davidmiller=21;alexdutton=21;tfgg=2;VirginiaDooley=2;smsmith97=2;PhilRumens=1;JoeMitchell=1;andylolz=1
DemocracyClub/WhoCanIVoteFor,415,99,316,1.37,26.11,42,12,pmk01=97;symroe=60;chris48s=58;annapowellsmith=40;VirginiaDooley=39;JoeMitchell=30;michaeljcollinsuk=23;andylolz=7;sjorford=6;davidmiller=5;jf1=5;magdamaciaszczyk=4;GeoWill=4;tfgg=3;EleeshaTB=3;BobHarper1=2;sentry[bot]=2;jasoncartwright=2;Bekabyx=2;alexdutton=1;MikeThacker1=1;gwire=1;BenJam=1;mhl=1;EdwardBetts=1;robzor=1;gerv=1;mrwilson=1;hugovk=1;jwheare=1;russss=1;MatMoore=1;jacksonj04=1;dependabot-preview[bot]=1;KateSeary=1;arcturis=1;pshem=1;Samwalton9=1;simrun=1;semiprime=1;edent=1;michaelsw95=1,symroe=125;VirginiaDooley=77;pmk01=37;annapowellsmith=34;chris48s=14;michaeljcollinsuk=11;andylolz=5;awdem=5;Bekabyx=5;EdwardBetts=1;jacksonj04=1;dependabot-preview[bot]=1
fvialibre/edia,0,0,0,,,0,0,,
