repo_full_name,change_request_acceptance_ratio,bus_factor,bus_factor_no_bots,bot_contributor_count,bot_commit_count,contribution_types,organizational_diversity,newcomer_friendly_labels,total_labels,release_frequency_per_month,fork_count,burstiness_cv,burstiness_mean,burstiness_std,median_defect_resolution_days,osi_approved_license,elephant_factor,elephant_factor_no_bots,contributor_new_count,contributor_casual_count,contributor_regular_count,median_time_to_first_response_issues_hours,median_time_to_first_response_prs_hours,time_to_first_response_issues_sample_size,time_to_first_response_prs_sample_size,readme_last_updated,contributing_last_updated,stale_issue_ratio,stale_issue_count,open_issue_count,median_pr_review_turnaround_hours,avg_review_comments_per_pr,herfindahl_hirschman_index,hhi_no_bots,hhi_known_orgs_only,unknown_org_contributor_count,contributor_org_types,dora_deployment_frequency_per_month,dora_median_lead_time_days,dora_change_failure_rate,core_contributor_count,periphery_contributor_count,core_periphery_ratio,network_density,avg_degree_centrality
CodeForAfrica/ui,0.822,2,2,4,192,code_commits=9933;pull_requests=944;issues=0,Unknown=7;zevolution-zm=1;Rewardops=1;Code For Africa=1;Code for Africa=1;nativecoders-se=1;codefor=1;CodeForAfrica=1,good first issue;help wanted,19,,2,1.3,18.06,23.45,8.1,True,2,2,2,6,10,20.0,1.7,100,100,2026-03-03T06:38:29+00:00,,0.74,37,50,3.2,0.88,2987.1,2114.9,3864.0,7,government=0;academic=0;nonprofit=0;company=11;unknown=3,,,0.0103,4,5,0.4444,0.3611,0.3611
CodeForAfrica/sensors.AFRICA,0.7625,2,2,3,39,code_commits=941;pull_requests=299;issues=0,CodeForAfrica=2;Unknown=9;codefor=1;OpenFn=1;Code for Africa=1;TeneryResearch=1;nativecoders-se=1,good first issue;help wanted,15,,10,6.88,0.52,3.57,5.2,False,2,2,4,11,4,65.8,39.3,81,100,2025-08-26T12:26:32+00:00,2018-10-15T12:55:01+00:00,1.0,5,5,3.2,0.54,3566.3,3450.7,4402.0,9,government=0;academic=0;nonprofit=0;company=11;unknown=5,0.01,,0.0482,5,11,0.3125,0.175,0.175
codeforamerica/form-flow,0.8369,3,3,3,626,code_commits=1695;pull_requests=1134;issues=0,codeforamerica=2;Unknown=9;Code for America=2;navapbc=1;GSA (work) + personal projects=1;Code For America=1;Yale University Library=1,good first issue;help wanted,15,3.06,0,0.68,8.12,5.5,,False,2,2,5,5,11,,0.0,0,100,2026-01-30T19:25:11+00:00,,,0,0,5.2,0.05,2950.4,1614.7,3248.9,9,government=0;academic=1;nonprofit=0;company=8;unknown=9,2.53,6.1,0.0042,1,5,0.1667,0.2667,0.2667
codeforamerica/vita-min,0.8441,5,5,3,458,code_commits=8734;pull_requests=6228;issues=0,Unknown=34;Benefits Data Trust=1;Initial Capacity=1;code-for-nashville=1;CodeForAmerica=1;newjersey=1;VMware=1;Stable-Auto=1;github=1;nubank=1;Flagrant=1;Code for America=2;navapbc=1;Binti=1,help wanted,10,13.08,14,1.06,7.31,7.72,,True,1,1,8,11,32,,17.2,3,100,2024-11-27T20:13:44+00:00,,,0,0,9.8,0.44,5081.1,822.3,2435.5,34,government=0;academic=0;nonprofit=0;company=21;unknown=27,12.02,1.0,0.016,3,7,0.3,0.4,0.4
codeforamerica/tofu-modules-aws-serverless-database,0.9722,1,1,1,11,code_commits=40;pull_requests=36;issues=0,Unknown=1;codeforamerica=1,good first issue;help wanted,9,0.72,0,2.71,0.62,1.67,,True,1,1,1,1,1,,0.1,0,36,2026-03-12T20:23:06+00:00,2024-12-05T18:33:38+00:00,,0,0,0.0,0.26,9334.1,9334.1,10000.0,1,government=0;academic=0;nonprofit=0;company=1;unknown=1,0.72,21.4,0.0,1,5,0.1667,0.3333,0.3333
codeforamerica/tax-benefits-backend,0.9306,3,3,0,0,code_commits=182;pull_requests=173;issues=0,Unknown=8;codeforamerica=1,good first issue;help wanted,10,,0,1.07,2.54,2.72,,True,1,1,0,8,1,,1.1,0,100,2025-01-08T20:43:09+00:00,,,0,0,0.1,0.3,6222.7,1478.7,10000.0,8,government=0;academic=0;nonprofit=0;company=4;unknown=5,,,0.0062,6,7,0.4615,0.3974,0.3974
codeforamerica/pya,0.7572,2,2,1,61,code_commits=248;pull_requests=276;issues=0,Unknown=7;Code for America=1,good first issue;help wanted,13,5.0,0,1.29,4.27,5.52,,False,1,1,1,6,2,,3.3,0,100,2025-08-05T20:10:41+00:00,,,0,0,1.6,0.2,9684.3,2464.2,10000.0,7,government=0;academic=0;nonprofit=0;company=4;unknown=4,3.73,0.2,0.0335,4,7,0.3636,0.2727,0.2727
codeforamerica/honeycrisp-gem,0.8155,4,3,1,29,code_commits=440;pull_requests=233;issues=0,"Unknown=25;Flagrant=1;Software Engineer @ Travis CI=1;Code for America=2;Regrow=1;Binti=1;navapbc=1;engineer & ux research consultant, topographic llc=1",good first issue;help wanted,28,,1,5.39,0.52,2.8,47.6,False,1,1,7,22,5,466.7,3.0,100,100,2026-01-08T18:42:24+00:00,,1.0,49,49,2.9,0.32,4570.7,1139.9,4858.7,25,government=0;academic=1;nonprofit=3;company=13;unknown=16,,,0.0105,7,13,0.35,0.1263,0.1263
codeforamerica/asap_pdf,0.7387,1,1,1,108,code_commits=596;pull_requests=398;issues=0,Unknown=2;Code for America=1,good first issue;help wanted,14,,7,1.54,7.1,10.92,,True,1,1,0,1,3,46.3,,4,100,2025-10-01T20:11:08+00:00,,1.0,3,3,17.7,0.46,5423.4,5044.4,10000.0,2,government=1;academic=0;nonprofit=0;company=2;unknown=0,,,0.0034,1,2,0.3333,0.6667,0.6667
codeforamerica/cmr-maryland-eligibility-determination,1.0,1,1,0,0,code_commits=29;pull_requests=19;issues=0,Unknown=1,good first issue;help wanted,9,,0,3.65,0.54,1.97,,False,1,1,0,1,0,,,0,19,2025-11-26T19:41:37+00:00,,,0,0,,0.0,10000.0,10000.0,,1,government=0;academic=0;nonprofit=0;company=0;unknown=1,,,0.0,0,0,,,
codeforamerica/document-transfer-service,0.75,1,1,0,0,code_commits=13;pull_requests=16;issues=0,codeforamerica=1,good first issue;help wanted,10,,1,7.14,0.04,0.27,,True,1,1,0,1,0,,52.5,1,16,2024-10-02T17:41:26+00:00,,1.0,1,1,47.0,0.5,10000.0,10000.0,10000.0,0,government=0;academic=0;nonprofit=0;company=1;unknown=0,,,0.0,1,4,0.2,0.4,0.4
markov-root/atlas,1.0,1,1,0,0,code_commits=11;pull_requests=1;issues=0,Unknown=1;anthropics=1,good first issue;help wanted,9,,4,4.22,0.79,3.33,236.1,False,1,1,1,1,0,,,3,1,,,,0,0,,0.0,8347.1,8347.1,10000.0,1,government=0;academic=0;nonprofit=0;company=1;unknown=1,,,0.0,0,0,,,
fvialibre/heseia-sentence-bias-dataset,,1,1,0,0,code_commits=9;pull_requests=0;issues=0,Unknown=1,good first issue;help wanted,9,,0,5.03,0.17,0.87,,False,1,1,0,1,0,,,0,0,2025-09-11T22:00:12+00:00,,,0,0,,,10000.0,10000.0,,1,government=0;academic=0;nonprofit=0;company=1;unknown=0,,,,0,0,,,
codeforjapan/BirdXplorer,0.968,2,2,2,15,code_commits=591;pull_requests=125;issues=0,"MIERUNE Inc.  ReMotive LLC=1;Unknown=5;anthropics=1;STORES, Inc. / The University of Electro-Communications=1",good first issue;help wanted,10,,4,1.49,4.17,6.2,,True,1,1,2,5,3,59.2,7.9,100,100,2024-11-01T12:53:21+00:00,,0.75,3,4,1.0,0.06,6768.0,2095.9,4734.2,5,government=0;academic=1;nonprofit=0;company=2;unknown=5,,,0.0,2,4,0.3333,0.3333,0.3333
meshtastic/Meshtastic-Android,0.9242,2,2,5,1016,code_commits=5879;pull_requests=3286;issues=0,lhc=1;Unknown=68;Open Source Contributor=1;trezor @satoshilabs=1;meInc.=1;SKKU=1;Zimmer Biomet=1;Working with cool people=1;Shokuhou Robotics Engineering=1;EmeraldOnion @Microsoft @NightRi-se @N4RC @WoofyIO=1;HelloFresh (@hellofresh )=1;commerzbank=1;Blackdove=1;amzn=1;anthropics=1;Incom Systems=1;Exxeta=1;AllGamer=1;douile=1;Whatnot=1;Lytx=1;Gone Epic=1;ScriptTactics @meshtastic=1;bankshift=1;Geeksville Industries=1;MobileMobile LLC=1,good first issue;help wanted,36,3.34,413,0.49,43.88,21.72,2.8,False,2,2,56,31,13,1.5,0.2,100,100,2026-03-10T01:19:46+00:00,2026-02-23T03:39:50+00:00,0.1803,11,61,0.2,0.06,2891.4,2370.6,3611.1,68,government=0;academic=0;nonprofit=9;company=40;unknown=46,3.24,6.2,0.0082,0,2,0.0,1.0,1.0
meshtastic/web,0.8236,2,2,3,59,code_commits=1307;pull_requests=601;issues=0,NoCopyPaste=1;Unknown=53;hire me!=1;Bitlocus=1;deytah=1;AWS - bgrift@=1;Siemens AG=1;amzn=1;digidem=1;Warp=1;Zimmer Biomet=1;Brooklyn-STEAM=1;americanexpress=1;Kraken-s-Key-Trading-Company=1;Browserbase=1;Cruise=1,good first issue;help wanted,21,0.75,265,1.01,7.0,7.06,10.9,False,1,1,42,21,9,24.7,0.0,100,100,2025-12-05T03:59:37+00:00,,0.617,29,47,0.0,0.78,9351.1,2115.7,2162.5,53,government=0;academic=0;nonprofit=7;company=31;unknown=31,0.22,41.5,0.0242,3,8,0.2727,0.2727,0.2727
meshtastic/firmware,0.8349,3,3,3,730,code_commits=12453;pull_requests=5930;issues=0,"Unknown=77;Erayd LTD=1;Murgatroid Heavy Industries, Ltd.=1;Exxeta=1;42ways GmbH, Teleteach GmbH=1;HelTecAutomation=1;Gone Epic=1;cognitiva.la=1;Weyr Associates=1;RAKWireless=1;Seeed=1;B&Q Consulting=1;Privat=1;MonteOps=1;TAAAK-srl=1;RGE Digital=1;CircuitLab & HeyOnCall=1;Samoa House Library=1;Incom Systems=1;Geeksville Industries=1",good first issue;help wanted,38,3.52,2123,0.47,57.38,27.1,5.5,False,1,1,0,72,28,0.0,1.1,100,100,2025-11-20T12:14:29+00:00,2024-09-04T22:33:28+00:00,0.2883,79,274,3.1,0.51,5684.5,1324.5,5102.5,77,government=0;academic=0;nonprofit=13;company=32;unknown=52,3.49,6.0,0.017,9,23,0.2812,0.1169,0.1169
civiform/civiform,0.8919,5,11,5,2865,code_commits=7645;pull_requests=8565;issues=0,Unknown=74;anthropics=1;googlers=1;HTCD=1;google=2;Front end Developer @BambooHR=1;google-deepmind=1;Public Service=1;Google=5;Exygy=2;firebase=1;Meta=1;Waymo=1,good first issue;up-for-grabs,71,3.54,86,0.43,36.23,15.66,13.1,True,1,1,20,36,41,2.4,93.3,100,100,2026-02-10T22:09:07+00:00,2024-01-09T22:48:40+00:00,0.6076,531,874,16.5,0.08,6899.9,454.5,2360.2,74,government=0;academic=2;nonprofit=0;company=26;unknown=64,2.48,7.0,0.0086,5,9,0.3571,0.2637,0.2637
iiab/iiab,0.8655,1,1,0,0,code_commits=14200;pull_requests=2721;issues=0,Unknown=20;GitHub=2;Full-Stack Developer=1;Internet Archive=1;Self-employed=1;SwITNet=1;Unleash Kids!=1,help wanted,13,0.94,123,0.94,25.04,23.57,9.9,False,1,1,7,9,11,2.1,3.1,100,100,2024-11-19T22:04:54+00:00,2024-11-19T22:00:50+00:00,0.9178,279,304,1.9,0.32,5908.6,5543.9,9002.3,20,government=0;academic=1;nonprofit=2;company=11;unknown=13,0.8,8.6,0.0318,2,7,0.2222,0.5,0.5
