repo_full_name,group,tool,source,evidence,count,first_seen
meshtastic/Meshtastic-Android,dev,github_copilot,pr_body,pr_body:github_copilot,1,2026-06-01T21:02:43+00:00
meshtastic/firmware,dev,agents_md,file,file:AGENTS.md,1,2026-04-18T13:17:44+00:00
meshtastic/firmware,dev,mcp,file,file:.mcp.json,1,
meshtastic/firmware,dev,github_copilot,file,file:.github/copilot-instructions.md,1,2026-01-09T23:14:35+00:00
meshtastic/firmware,dev,claude_code,file,dir:.claude,1,
meshtastic/firmware,dev,github_copilot,file,dir:.github/prompts,1,
meshtastic/firmware,dev,claude_code,commit_trailer,commit_trailer:claude_code,17,2026-04-03T11:07:59+00:00
meshtastic/firmware,dev,github_copilot,commit_trailer,commit_trailer:github_copilot,160,2025-04-07T10:46:22+00:00
meshtastic/firmware,dev,github_copilot,commit_author,commit_author:github_copilot,2,2025-04-07T10:46:22+00:00
meshtastic/firmware,dev,github_copilot,pr_author,pr_author:Copilot,7,
meshtastic/firmware,dev,claude_code,pr_body,pr_body:claude_code,1,2026-05-10T22:03:17+00:00
meshtastic/web,dev,github_copilot,file,file:.github/copilot-instructions.md,1,
meshtastic/web,dev,github_copilot,commit_trailer,commit_trailer:github_copilot,41,2025-05-27T11:36:16+00:00
meshtastic/web,dev,github_copilot,commit_author,commit_author:github_copilot,1,2025-05-27T11:36:16+00:00
meshtastic/web,dev,github_copilot,pr_author,pr_author:Copilot,1,
meshtastic/web,dev,claude_code,pr_body,pr_body:claude_code,1,2026-03-05T02:59:56+00:00
oklabflensburg/open-monuments-map,dev,github_copilot,commit_author,commit_author:github_copilot,2,2025-10-08T11:44:28+00:00
oklabflensburg/open-monuments-map,dev,github_copilot,pr_author,pr_author:Copilot,1,
openlegaldata/oldp,dev,claude_code,file,file:CLAUDE.md,1,2026-01-21T21:18:41+00:00
openlegaldata/oldp,dev,claude_code,commit_trailer,commit_trailer:claude_code,62,2026-01-13T16:23:48+00:00
openlegaldata/oldp,dev,claude_code,pr_body,pr_body:claude_code,1,2026-02-13T11:36:29+00:00
openlegaldata/oldp,dev,cursor,pr_body,pr_body:cursor,1,2026-05-20T13:07:16+00:00
