repo_full_name,dev_ai_detected,dev_ai_tools,agent_config_files,ai_coauthored_commit_count,ai_authored_commit_count,commits_scanned,ai_commit_ratio,ai_agent_pr_count,ci_ai_workflows,review_bot_tools,first_dev_ai_date,product_llm_detected,product_llm_providers,product_llm_signals
oklabflensburg/open-biotope-map,False,,,0,0,62,0.0,0,,,,False,,
oklabflensburg/open-data-api,False,,,0,0,272,0.0,0,,,,False,,
oklabflensburg/open-emergency-map,False,,,0,0,9,0.0,0,,,,False,,
oklabflensburg/open-monuments-map,True,github_copilot,,0,2,292,0.0068,1,,,2025-10-08T11:44:28+00:00,False,,
oklabflensburg/open-parcel-map,False,,,0,0,27,0.0,0,,,,False,,
oklabflensburg/open-recycling-map,False,,,0,0,36,0.0,0,,,,False,,
oklabflensburg/open-school-map,False,,,0,0,124,0.0,0,,,,False,,
oklabflensburg/open-trees-map,False,,,0,0,99,0.0,0,,,,False,,
openlegaldata/oldp,True,claude_code;cursor,CLAUDE.md,62,0,448,0.1384,0,,,2026-01-13T16:23:48+00:00,False,,
ton-An/station_reach,False,,,0,0,272,0.0,0,,,,False,,
