metric,organisations,org_details,n_groups,n_total,H_statistic,p_value,epsilon_squared,significant
bus_factor_no_bots,"CodeForAfrica, oklabflensburg, codeforamerica, CivicTechWR, meshtastic","CodeForAfrica(n=9,med=2.0); oklabflensburg(n=9,med=1.0); codeforamerica(n=8,med=1.5); CivicTechWR(n=5,med=1.0); meshtastic(n=3,med=1.0)",5,34,9.2259,0.0557,0.1802,False
hhi_no_bots,"CodeForAfrica, oklabflensburg, codeforamerica, CivicTechWR, meshtastic","CodeForAfrica(n=9,med=3663.1); oklabflensburg(n=9,med=9840.0); codeforamerica(n=8,med=4946.4); CivicTechWR(n=5,med=1953.1); meshtastic(n=3,med=5330.4)",5,34,14.6998,0.0054,0.369,True
health_percentage,"CodeForAfrica, oklabflensburg, codeforamerica, CivicTechWR, meshtastic","CodeForAfrica(n=9,med=50.0); oklabflensburg(n=9,med=62.0); codeforamerica(n=8,med=50.0); CivicTechWR(n=5,med=87.0); meshtastic(n=3,med=100.0)",5,34,12.2722,0.0154,0.2852,True
num_developers,"CodeForAfrica, oklabflensburg, codeforamerica, CivicTechWR, meshtastic","CodeForAfrica(n=9,med=7.0); oklabflensburg(n=9,med=2.0); codeforamerica(n=8,med=9.0); CivicTechWR(n=5,med=16.0); meshtastic(n=3,med=108.0)",5,34,18.4802,0.001,0.4993,True
total_commits,"CodeForAfrica, oklabflensburg, codeforamerica, CivicTechWR, meshtastic","CodeForAfrica(n=9,med=702.0); oklabflensburg(n=9,med=99.0); codeforamerica(n=8,med=230.0); CivicTechWR(n=5,med=414.0); meshtastic(n=3,med=6703.0)",5,34,15.5691,0.0037,0.3989,True
burstiness_cv,"CodeForAfrica, oklabflensburg, codeforamerica, CivicTechWR, meshtastic","CodeForAfrica(n=9,med=1.22); oklabflensburg(n=9,med=1.06); codeforamerica(n=8,med=0.765); CivicTechWR(n=5,med=0.94); meshtastic(n=3,med=0.45)",5,34,6.8005,0.1468,0.0966,False
stale_issue_ratio,"CodeForAfrica, oklabflensburg, codeforamerica, CivicTechWR, meshtastic","CodeForAfrica(n=6,med=0.9); oklabflensburg(n=2,med=1.0); codeforamerica(n=2,med=1.0); CivicTechWR(n=3,med=0.9412); meshtastic(n=3,med=0.3523)",5,16,9.4471,0.0508,0.4952,False
core_contributor_count,"CodeForAfrica, oklabflensburg, codeforamerica, CivicTechWR, meshtastic","CodeForAfrica(n=9,med=3.0); oklabflensburg(n=9,med=0.0); codeforamerica(n=8,med=1.0); CivicTechWR(n=5,med=2.0); meshtastic(n=3,med=3.0)",5,34,9.4344,0.0511,0.1874,False
