,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,1.0,0.5333,0.5578,0.4353,0.4517,0.2685,0.2717,-0.2334,-0.541,-0.3276,-0.2721,-0.0077,-0.087,0.05,0.075,0.1395,-0.0706
num_developers,0.5333,1.0,0.6639,0.5237,0.5197,0.4849,0.5307,-0.2169,-0.6367,-0.7617,-0.5047,0.1109,-0.0456,-0.3195,-0.2318,0.5927,-0.2507
total_commits,0.5578,0.6639,1.0,0.3293,0.329,0.1861,0.2341,-0.2599,-0.3826,-0.3572,-0.3306,-0.0618,-0.161,-0.4371,-0.2952,0.1717,0.1046
stars,0.4353,0.5237,0.3293,1.0,0.8075,0.0896,0.1203,-0.2365,-0.287,-0.1911,-0.2056,0.1299,0.0818,-0.4104,0.159,0.3467,-0.1684
forks,0.4517,0.5197,0.329,0.8075,1.0,0.0551,0.0888,-0.0894,-0.3009,-0.177,-0.239,0.3465,0.0408,-0.4349,0.0832,0.3046,-0.0518
bus_factor,0.2685,0.4849,0.1861,0.0896,0.0551,1.0,0.9699,-0.0091,-0.6333,-0.7179,-0.4662,-0.0499,-0.2109,0.0207,-0.0605,0.6035,-0.4928
bus_factor_no_bots,0.2717,0.5307,0.2341,0.1203,0.0888,0.9699,1.0,-0.0711,-0.6343,-0.7569,-0.4634,0.0125,-0.1803,-0.0394,-0.0805,0.6409,-0.4679
burstiness_cv,-0.2334,-0.2169,-0.2599,-0.2365,-0.0894,-0.0091,-0.0711,1.0,-0.004,0.0341,0.1613,-0.0882,0.0898,0.303,0.0333,-0.0689,0.0069
herfindahl_hirschman_index,-0.541,-0.6367,-0.3826,-0.287,-0.3009,-0.6333,-0.6343,-0.004,1.0,0.7033,0.2535,0.1126,0.0164,0.0452,0.0027,-0.4574,0.1862
hhi_no_bots,-0.3276,-0.7617,-0.3572,-0.1911,-0.177,-0.7179,-0.7569,0.0341,0.7033,1.0,0.4706,-0.0393,0.0554,-0.0101,0.2047,-0.6186,0.3144
stale_issue_ratio,-0.2721,-0.5047,-0.3306,-0.2056,-0.239,-0.4662,-0.4634,0.1613,0.2535,0.4706,1.0,-0.1278,-0.1773,0.1296,0.4104,-0.2789,0.1953
health_percentage,-0.0077,0.1109,-0.0618,0.1299,0.3465,-0.0499,0.0125,-0.0882,0.1126,-0.0393,-0.1278,1.0,0.2129,-0.3892,-0.1188,0.1774,-0.0691
change_request_acceptance_ratio,-0.087,-0.0456,-0.161,0.0818,0.0408,-0.2109,-0.1803,0.0898,0.0164,0.0554,-0.1773,0.2129,1.0,-0.0248,-0.2942,0.0359,-0.0211
median_time_to_first_response_issues_hours,0.05,-0.3195,-0.4371,-0.4104,-0.4349,0.0207,-0.0394,0.303,0.0452,-0.0101,0.1296,-0.3892,-0.0248,1.0,0.4018,-0.1879,-0.0267
median_pr_review_turnaround_hours,0.075,-0.2318,-0.2952,0.159,0.0832,-0.0605,-0.0805,0.0333,0.0027,0.2047,0.4104,-0.1188,-0.2942,0.4018,1.0,-0.1796,0.0362
core_contributor_count,0.1395,0.5927,0.1717,0.3467,0.3046,0.6035,0.6409,-0.0689,-0.4574,-0.6186,-0.2789,0.1774,0.0359,-0.1879,-0.1796,1.0,-0.7722
network_density,-0.0706,-0.2507,0.1046,-0.1684,-0.0518,-0.4928,-0.4679,0.0069,0.1862,0.3144,0.1953,-0.0691,-0.0211,-0.0267,0.0362,-0.7722,1.0
