,count,mean,std,min,25%,50%,75%,max,IQR
total_commits,55.0,1635.9454545454546,3149.8296627559253,9.0,170.0,395.0,1355.5,14694.0,1185.5
num_developers,55.0,21.4,57.95611366466104,1.0,3.0,7.0,16.0,414.0,13.0
stars,55.0,232.03636363636363,1072.6321202163701,0.0,1.5,4.0,23.0,7632.0,21.5
forks,55.0,65.65454545454546,326.73379231994215,0.0,0.0,2.0,8.5,2383.0,8.5
health_percentage,55.0,51.43636363636364,22.63622435828584,0.0,37.0,50.0,62.0,100.0,25.0
bus_factor,55.0,1.5636363636363637,0.8555621146278812,1.0,1.0,1.0,2.0,4.0,1.0
bus_factor_no_bots,55.0,1.5636363636363637,0.8336363085599707,1.0,1.0,1.0,2.0,4.0,1.0
burstiness_cv,55.0,1.002727272727273,0.39537818063710306,0.04,0.76,0.94,1.225,1.92,0.4650000000000001
elephant_factor,55.0,1.0909090909090908,0.29012942659282964,1.0,1.0,1.0,1.0,2.0,0.0
elephant_factor_no_bots,55.0,1.0909090909090908,0.29012942659282964,1.0,1.0,1.0,1.0,2.0,0.0
herfindahl_hirschman_index,55.0,7720.056363636363,2408.685397162745,2092.0,5637.950000000001,9015.9,9953.6,10000.0,4315.65
hhi_no_bots,55.0,5922.241818181818,3207.536508708878,1276.4,3128.15,5330.4,9552.0,10000.0,6423.85
hhi_known_orgs_only,49.0,8537.67142857143,2102.6643139320486,2636.8,7555.7,9916.0,10000.0,10000.0,2444.3
stale_issue_ratio,34.0,0.7932117647058824,0.25674878509016613,0.0,0.6739499999999999,0.89835,1.0,1.0,0.32605000000000006
change_request_acceptance_ratio,49.0,0.773330612244898,0.21611473149317556,0.1667,0.7055,0.8192,0.9227,1.0,0.21719999999999995
median_time_to_first_response_issues_hours,31.0,790.5548387096775,1767.289484085485,0.3,36.85,73.1,439.5,7300.3,402.65
median_time_to_first_response_prs_hours,30.0,36.60666666666667,68.7903408081814,0.1,1.4749999999999999,10.95,33.0,336.7,31.525
median_pr_review_turnaround_hours,38.0,44.14736842105263,124.40731215331336,0.0,1.45,6.2,26.05,731.7,24.6
avg_review_comments_per_pr,49.0,0.2961224489795919,0.38024562416138014,0.0,0.0,0.13,0.5,2.0,0.5
core_contributor_count,55.0,1.690909090909091,2.2100169873046416,0.0,0.0,1.0,3.0,10.0,3.0
periphery_contributor_count,55.0,3.5636363636363635,3.984988667503921,0.0,0.0,3.0,5.0,20.0,5.0
network_density,38.0,0.4962,0.28096573995244867,0.1103,0.324375,0.4,0.6667,1.0,0.34232499999999993
bot_contributor_count,55.0,0.9818181818181818,1.1783684434641775,0.0,0.0,1.0,2.0,5.0,2.0
bot_commit_count,55.0,51.09090909090909,132.1817313436698,0.0,0.0,1.0,31.0,818.0,31.0
unknown_org_contributor_count,55.0,7.1454545454545455,11.052766005106433,0.0,1.5,5.0,10.0,75.0,8.5
