var_a,var_b,rho,p_value,n_pairs,significant_uncorrected,significant_fdr
core_contributor_count,network_density,-0.7722,0.0,38,True,True
num_developers,hhi_no_bots,-0.7617,0.0,55,True,True
stars,forks,0.8075,0.0,55,True,True
bus_factor,bus_factor_no_bots,0.9699,0.0,55,True,True
bus_factor,herfindahl_hirschman_index,-0.6333,0.0,55,True,True
bus_factor,hhi_no_bots,-0.7179,0.0,55,True,True
num_developers,herfindahl_hirschman_index,-0.6367,0.0,55,True,True
num_developers,total_commits,0.6639,0.0,55,True,True
bus_factor_no_bots,herfindahl_hirschman_index,-0.6343,0.0,55,True,True
bus_factor_no_bots,hhi_no_bots,-0.7569,0.0,55,True,True
bus_factor_no_bots,core_contributor_count,0.6409,0.0,55,True,True
herfindahl_hirschman_index,hhi_no_bots,0.7033,0.0,55,True,True
hhi_no_bots,core_contributor_count,-0.6186,0.0,55,True,True
bus_factor,core_contributor_count,0.6035,1e-06,55,True,True
num_developers,core_contributor_count,0.5927,2e-06,55,True,True
age_years,total_commits,0.5578,1e-05,55,True,True
age_years,herfindahl_hirschman_index,-0.541,2e-05,55,True,True
age_years,num_developers,0.5333,2.8e-05,55,True,True
num_developers,bus_factor_no_bots,0.5307,3.1e-05,55,True,True
num_developers,stars,0.5237,4.1e-05,55,True,True
num_developers,forks,0.5197,4.8e-05,55,True,True
num_developers,bus_factor,0.4849,0.000176,55,True,True
herfindahl_hirschman_index,core_contributor_count,-0.4574,0.000447,55,True,True
age_years,forks,0.4517,0.000537,55,True,True
age_years,stars,0.4353,0.000894,55,True,True
bus_factor,network_density,-0.4928,0.001671,38,True,True
num_developers,stale_issue_ratio,-0.5047,0.002336,34,True,True
bus_factor_no_bots,network_density,-0.4679,0.003053,38,True,True
total_commits,herfindahl_hirschman_index,-0.3826,0.00394,55,True,True
hhi_no_bots,stale_issue_ratio,0.4706,0.004971,34,True,True
bus_factor,stale_issue_ratio,-0.4662,0.005457,34,True,True
bus_factor_no_bots,stale_issue_ratio,-0.4634,0.00578,34,True,True
total_commits,hhi_no_bots,-0.3572,0.007431,55,True,True
stars,core_contributor_count,0.3467,0.0095,55,True,True
forks,health_percentage,0.3465,0.009558,55,True,True
total_commits,median_time_to_first_response_issues_hours,-0.4371,0.013942,31,True,True
total_commits,stars,0.3293,0.014098,55,True,True
total_commits,forks,0.329,0.014195,55,True,True
forks,median_time_to_first_response_issues_hours,-0.4349,0.014486,31,True,True
age_years,hhi_no_bots,-0.3276,0.014614,55,True,True
stars,median_time_to_first_response_issues_hours,-0.4104,0.021831,31,True,False
forks,core_contributor_count,0.3046,0.023748,55,True,False
forks,herfindahl_hirschman_index,-0.3009,0.025573,55,True,False
health_percentage,median_time_to_first_response_issues_hours,-0.3892,0.030469,31,True,False
stars,herfindahl_hirschman_index,-0.287,0.033609,55,True,False
median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,0.4018,0.037771,27,True,False
stale_issue_ratio,median_pr_review_turnaround_hours,0.4104,0.041562,25,True,False
