comparison,metric,group_a_n,group_b_n,group_a_median,group_b_median,U_statistic,p_value,cliffs_delta,effect_magnitude
CI/CD vs No CI/CD,bus_factor,47,9,1.0,1.0,278.0,0.0838,0.3144,small
CI/CD vs No CI/CD,bus_factor_no_bots,47,9,1.0,1.0,282.0,0.0699,0.3333,medium
CI/CD vs No CI/CD,stale_issue_ratio,32,3,0.8984,0.8,49.0,0.976,0.0208,negligible
CI/CD vs No CI/CD,health_percentage,48,9,50.0,37.0,262.0,0.3099,0.213,small
CI/CD vs No CI/CD,num_developers,48,9,9.0,2.0,348.5,0.0038,0.6134,large
CI/CD vs No CI/CD,total_commits,48,9,433.0,154.0,349.5,0.0036,0.6181,large
Cloud vs No Cloud,total_commits,29,28,676.0,223.0,607.0,0.0014,0.4951,large
Cloud vs No Cloud,num_developers,29,28,11.0,4.0,598.0,0.0022,0.4729,medium
Cloud vs No Cloud,bus_factor_no_bots,29,27,2.0,1.0,584.0,0.0003,0.4917,large
Cloud vs No Cloud,health_percentage,29,28,50.0,50.0,375.0,0.6196,-0.0764,negligible
Cloud vs No Cloud,hhi_no_bots,29,27,4091.5,9113.0,234.0,0.0098,-0.4023,medium
AI/ML vs No AI/ML,num_developers,6,51,11.0,6.0,177.0,0.5402,0.1569,small
AI/ML vs No AI/ML,bus_factor_no_bots,5,51,1.0,1.0,132.5,0.8807,0.0392,negligible
AI/ML vs No AI/ML,health_percentage,6,51,37.0,50.0,83.5,0.0673,-0.4542,medium
OSI License vs No License,health_percentage,20,37,50.0,50.0,326.5,0.4635,-0.1176,negligible
OSI License vs No License,num_developers,20,37,9.5,5.0,454.5,0.1592,0.2284,small
OSI License vs No License,bus_factor_no_bots,20,36,2.0,1.0,456.0,0.058,0.2667,small
OSI License vs No License,stars,20,37,8.5,3.0,477.0,0.0738,0.2892,small
OSI License vs No License,forks,20,37,3.0,2.0,417.5,0.4247,0.1284,negligible
