,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,0.0,3.2e-05,1e-05,0.000957,0.000538,0.02371,0.036072,0.104058,1.6e-05,0.03468,0.052849,0.942777,0.66676,0.97673,0.988888,0.284282,0.399237
num_developers,3.2e-05,0.0,0.0,6e-05,6.2e-05,2.9e-05,2.2e-05,0.121841,0.0,0.0,0.000958,0.495457,0.792922,0.091285,0.203531,8e-06,0.020469
total_commits,1e-05,0.0,0.0,0.01825,0.017714,0.105796,0.07433,0.063539,0.002949,0.01626,0.05487,0.753216,0.228263,0.007601,0.082473,0.267407,0.946417
stars,0.000957,6e-05,0.01825,0.0,0.0,0.376863,0.392745,0.071483,0.042069,0.081039,0.229239,0.514294,0.548374,0.024889,0.406731,0.015868,0.081903
forks,0.000538,6.2e-05,0.017714,0.0,0.0,0.479873,0.483513,0.522113,0.028018,0.100528,0.138026,0.016859,0.70712,0.0158,0.873494,0.038311,0.283666
bus_factor,0.02371,2.9e-05,0.105796,0.376863,0.479873,0.0,0.0,0.616996,0.0,0.0,0.004012,0.905609,0.166813,0.866462,0.681404,1e-06,0.000581
bus_factor_no_bots,0.036072,2.2e-05,0.07433,0.392745,0.483513,0.0,0.0,0.470454,0.0,0.0,0.013502,0.905609,0.200875,0.866462,0.950349,0.0,0.003326
burstiness_cv,0.104058,0.121841,0.063539,0.071483,0.522113,0.616996,0.470454,0.0,0.998241,0.880103,0.277066,0.419477,0.619243,0.111981,0.946959,0.707166,0.308811
herfindahl_hirschman_index,1.6e-05,0.0,0.002949,0.042069,0.028018,0.0,0.0,0.998241,0.0,0.0,0.146982,0.380436,0.983102,0.725151,0.460658,0.000462,0.26829
hhi_no_bots,0.03468,0.0,0.01626,0.081039,0.100528,0.0,0.0,0.880103,0.0,0.0,0.005301,0.751393,0.676547,0.945117,0.254496,0.0,0.05523
stale_issue_ratio,0.052849,0.000958,0.05487,0.229239,0.138026,0.004012,0.013502,0.277066,0.146982,0.005301,0.0,0.403171,0.313905,0.956015,0.112671,0.134617,0.180599
health_percentage,0.942777,0.495457,0.753216,0.514294,0.016859,0.905609,0.905609,0.419477,0.380436,0.751393,0.403171,0.0,0.276594,0.06078,0.35259,0.454152,0.391176
change_request_acceptance_ratio,0.66676,0.792922,0.228263,0.548374,0.70712,0.166813,0.200875,0.619243,0.983102,0.676547,0.313905,0.276594,0.0,0.909843,0.05364,0.949283,0.625894
median_time_to_first_response_issues_hours,0.97673,0.091285,0.007601,0.024889,0.0158,0.866462,0.866462,0.111981,0.725151,0.945117,0.956015,0.06078,0.909843,0.0,0.037898,0.527353,0.8902
median_pr_review_turnaround_hours,0.988888,0.203531,0.082473,0.406731,0.873494,0.681404,0.950349,0.946959,0.460658,0.254496,0.112671,0.35259,0.05364,0.037898,0.0,0.854181,0.964818
core_contributor_count,0.284282,8e-06,0.267407,0.015868,0.038311,1e-06,0.0,0.707166,0.000462,0.0,0.134617,0.454152,0.949283,0.527353,0.854181,0.0,0.0
network_density,0.399237,0.020469,0.946417,0.081903,0.283666,0.000581,0.003326,0.308811,0.26829,0.05523,0.180599,0.391176,0.625894,0.8902,0.964818,0.0,0.0
