repo_full_name,change_request_acceptance_ratio,bus_factor,bus_factor_no_bots,bot_contributor_count,bot_commit_count,contribution_types,organizational_diversity,newcomer_friendly_labels,total_labels,release_frequency_per_month,fork_count,burstiness_cv,burstiness_mean,burstiness_std,median_defect_resolution_days,osi_approved_license,elephant_factor,elephant_factor_no_bots,contributor_new_count,contributor_casual_count,contributor_regular_count,median_time_to_first_response_issues_hours,median_time_to_first_response_prs_hours,time_to_first_response_issues_sample_size,time_to_first_response_prs_sample_size,readme_last_updated,contributing_last_updated,stale_issue_ratio,stale_issue_count,open_issue_count,median_pr_review_turnaround_hours,avg_review_comments_per_pr,herfindahl_hirschman_index,hhi_no_bots,hhi_known_orgs_only,unknown_org_contributor_count,contributor_org_types,dora_deployment_frequency_per_month,dora_median_lead_time_days,dora_change_failure_rate,core_contributor_count,periphery_contributor_count,core_periphery_ratio,network_density,avg_degree_centrality,burstiness_cv_full_history
CodeForAfrica/sensors.AFRICA,0.7633,3,3,3,39,code_commits=500;pull_requests=300;issues=0,CodeForAfrica=5;Code for Africa=2;Unknown=8;codefor=1;nativecoders-se=1;OpenFn=1;TeneryResearch=2,good first issue;help wanted,15,,10,1.22,,,5.2,False,2,2,0,0,0,55.8,27.3,82,100,2025-08-26T12:26:32+00:00,2018-10-15T12:55:01+00:00,1.0,5,5,3.6,0.54,3376.7,3185.6,4444.4,8,government=0;academic=0;nonprofit=0;company=16;unknown=6,0.01,,0.048,5,11,0.3125,0.175,0.175,1.39
codeforamerica/form-flow,0.8274,1,1,2,402,code_commits=500;pull_requests=1182;issues=0,Unknown=3;codeforamerica=1;Code for America=2,good first issue;help wanted,15,3.06,0,0.63,,,,False,1,1,0,0,0,,,0,100,2026-01-30T19:25:11+00:00,,,0,0,5.4,0.02,7673.9,6212.0,8579.9,3,government=0;academic=0;nonprofit=0;company=4;unknown=2,2.46,6.1,0.0041,1,4,0.2,0.3,0.3,0.69
codeforamerica/vita-min,0.8443,4,4,1,20,code_commits=500;pull_requests=6294;issues=0,Unknown=15;Code for America=2;newjersey=1,help wanted,10,13.03,14,0.84,,,,True,1,1,0,0,0,,17.3,3,100,2024-11-27T20:13:44+00:00,,,0,0,17.7,0.42,5921.9,1634.3,8024.7,15,government=0;academic=0;nonprofit=0;company=8;unknown=11,11.96,1.0,0.0162,4,4,0.5,0.4286,0.4286,0.77
codeforamerica/tofu-modules-aws-serverless-database,0.973,1,1,1,11,code_commits=40;pull_requests=37;issues=0,codeforamerica=1;Unknown=1,good first issue;help wanted,9,0.72,0,0.82,,,,True,1,1,0,0,0,,0.1,0,37,2026-03-12T20:23:06+00:00,2024-12-05T18:33:38+00:00,,0,0,0.0,0.25,9334.1,9334.1,10000.0,1,government=0;academic=0;nonprofit=0;company=1;unknown=1,0.71,21.4,0.0,1,5,0.1667,0.3333,0.3333,0.82
codeforamerica/tax-benefits-backend,0.93,3,3,0,0,code_commits=189;pull_requests=200;issues=0,Unknown=11;codeforamerica=2,good first issue;help wanted,10,,0,0.71,,,,True,1,1,0,0,0,,1.8,0,100,2025-01-08T20:43:09+00:00,,,0,0,0.4,0.39,6317.0,1753.6,10000.0,11,government=0;academic=0;nonprofit=1;company=6;unknown=6,,,0.0054,6,8,0.4286,0.3516,0.3516,0.74
codeforamerica/pya,0.7222,2,2,1,85,code_commits=258;pull_requests=324;issues=0,Unknown=9;Code for America=1,good first issue;help wanted,13,5.0,0,0.95,,,,False,1,1,0,0,0,,1.4,0,100,2025-08-05T20:10:41+00:00,,,0,0,1.5,0.2,9885.1,3876.7,10000.0,9,government=0;academic=0;nonprofit=0;company=6;unknown=4,3.22,0.2,0.0342,4,7,0.3636,0.2909,0.2909,0.95
codeforamerica/honeycrisp-gem,0.8051,5,4,1,29,code_commits=415;pull_requests=236;issues=0,"Unknown=32;navapbc=2;Binti=1;engineer & ux research consultant, topographic llc=2;Code for America=2;Regrow=1",good first issue;help wanted,28,,1,1.26,,,47.6,False,1,1,0,0,0,466.7,3.0,100,100,2026-01-08T18:42:24+00:00,,1.0,49,49,2.9,0.32,4568.7,1550.7,5356.2,32,government=0;academic=2;nonprofit=3;company=16;unknown=27,,,0.0105,7,13,0.35,0.1263,0.1263,1.19
codeforamerica/asap_pdf,0.7139,1,1,1,93,code_commits=500;pull_requests=416;issues=0,Unknown=3;Code for America=1,good first issue;help wanted,14,,7,1.03,,,,True,1,1,0,0,0,46.3,,4,100,2026-04-09T15:00:06+00:00,,1.0,3,3,22.3,0.46,6343.8,6098.9,10000.0,3,government=1;academic=0;nonprofit=0;company=2;unknown=1,,,0.0034,1,3,0.25,0.5,0.5,1.03
codeforamerica/cmr-maryland-eligibility-determination,1.0,1,1,0,0,code_commits=49;pull_requests=19;issues=0,Unknown=2,good first issue;help wanted,9,,0,1.31,,,,False,1,1,0,0,0,,,0,19,2025-11-26T19:41:37+00:00,,,0,0,,0.0,10000.0,10000.0,,2,government=0;academic=0;nonprofit=0;company=0;unknown=2,,,0.0,0,0,,,,1.31
codeforamerica/document-transfer-service,0.75,1,1,0,0,code_commits=13;pull_requests=16;issues=0,codeforamerica=2,good first issue;help wanted,10,,1,0.47,,,,True,1,1,0,0,0,,52.5,1,16,2024-10-02T17:41:26+00:00,,1.0,1,1,47.0,0.5,10000.0,10000.0,10000.0,0,government=0;academic=0;nonprofit=0;company=2;unknown=0,,,0.0,1,4,0.2,0.4,0.4,0.47
