repo_full_name,login,name,num_commits,additions,deletions,avg_additions_per_commit,avg_deletions_per_commit,is_bot
mastodon/mastodon,taichi221228,taichi ひ,13,0,0,0.0,0.0,False
mastodon/mastodon,koyuawsmbrtn,koyu,13,0,0,0.0,0.0,False
mastodon/mastodon,angristan,Stanislas,13,0,0,0.0,0.0,False
mastodon/mastodon,larouxn,Nicholas La Roux,13,0,0,0.0,0.0,False
mastodon/mastodon,pfigel,Patrick Figel,13,0,0,0.0,0.0,False
mastodon/mastodon,Artoria2e5,Mingye Wang,14,0,0,0.0,0.0,False
mastodon/mastodon,marrus-sh,kibigo!,14,0,0,0.0,0.0,False
mastodon/mastodon,krainboltgreene,Kurtis Rainbolt-Greene,14,0,0,0.0,0.0,False
mastodon/mastodon,mfmfuyu,fuyu,15,0,0,0.0,0.0,False
mastodon/mastodon,MitarashiDango,MitarashiDango,15,0,0,0.0,0.0,False
mastodon/mastodon,mashirozx,Mashiro,15,0,0,0.0,0.0,False
mastodon/mastodon,mgmn,mogaminsk,15,0,0,0.0,0.0,False
mastodon/mastodon,matteoaquila,Matteo Aquila,16,0,0,0.0,0.0,False
mastodon/mastodon,yukimochi,YUKIMOCHI,16,0,0,0.0,0.0,False
mastodon/mastodon,rinsuki,rinsuki,16,0,0,0.0,0.0,False
mastodon/mastodon,stephenburgess8,Stephen Burgess,16,0,0,0.0,0.0,False
mastodon/mastodon,rkarabut,Ratmir Karabut,16,0,0,0.0,0.0,False
mastodon/mastodon,hcmiya,MIYAGI Hikaru,16,0,0,0.0,0.0,False
mastodon/mastodon,nightpool,nightpool,16,0,0,0.0,0.0,False
mastodon/mastodon,ticky,Jessica Stokes,17,0,0,0.0,0.0,False
mastodon/mastodon,mkljczk,nicole mikołajczyk,18,0,0,0.0,0.0,False
mastodon/mastodon,hinaloe,Hinaloe,18,0,0,0.0,0.0,False
mastodon/mastodon,masarakki,masarakki,18,0,0,0.0,0.0,False
mastodon/mastodon,danhunsaker,Hennik Hunsaker,20,0,0,0.0,0.0,False
mastodon/mastodon,eramdam,Damien Erambert,20,0,0,0.0,0.0,False
mastodon/mastodon,gunchleoc,,22,0,0,0.0,0.0,False
mastodon/mastodon,ashfurrow,Ash Furrow,22,0,0,0.0,0.0,False
mastodon/mastodon,shuheiktgw,Shuhei Kitagawa,23,0,0,0.0,0.0,False
mastodon/mastodon,marek-lach,Marek Ľach,24,0,0,0.0,0.0,False
mastodon/mastodon,Aditoo17,,24,0,0,0.0,0.0,False
mastodon/mastodon,Quenty31,Quentí,24,0,0,0.0,0.0,False
mastodon/mastodon,dunn,Alexandra Catalina,26,0,0,0.0,0.0,False
mastodon/mastodon,yookoala,Koala Yeung,26,0,0,0.0,0.0,False
mastodon/mastodon,nullkal,nullkal / ぬるかる,27,0,0,0.0,0.0,False
mastodon/mastodon,Quent-in,,30,0,0,0.0,0.0,False
mastodon/mastodon,JantsoP,JantsoP,30,0,0,0.0,0.0,False
mastodon/mastodon,blackle,Blackle Morisanchetto,31,0,0,0.0,0.0,False
mastodon/mastodon,trwnh,a,35,0,0,0.0,0.0,False
mastodon/mastodon,ariasuni,,35,0,0,0.0,0.0,False
mastodon/mastodon,brawaru,Sasha Sorokin,36,0,0,0.0,0.0,False
mastodon/mastodon,nclm,nicolas,38,0,0,0.0,0.0,False
mastodon/mastodon,alpaca-tc,alpaca-tc,41,0,0,0.0,0.0,False
mastodon/mastodon,takayamaki,fusagiko / takayamaki,43,0,0,0.0,0.0,False
mastodon/mastodon,lynlynlynx,Lynx Kotoura,46,0,0,0.0,0.0,False
mastodon/mastodon,renatolond,"Renato ""Lond"" Cerqueira",47,0,0,0.0,0.0,False
mastodon/mastodon,ineffyble,Effy Elden,51,0,0,0.0,0.0,False
mastodon/mastodon,zunda,zunda,55,0,0,0.0,0.0,False
mastodon/mastodon,vmstan,Michael Stanclift,66,0,0,0.0,0.0,False
mastodon/mastodon,c960657,Christian Schmidt,75,0,0,0.0,0.0,False
mastodon/mastodon,danielmbrasil,Daniel M Brasil,79,0,0,0.0,0.0,False
