repo_full_name,total_issues,open_issues,closed_issues,avg_comments_per_issue,median_time_to_close_days,unique_openers,unique_closers,top_openers,top_closers
civiform/civiform,4409,859,3550,1.39,29.08,103,67,neel-a-mehta=520;gwendolyngoetz=333;dkatzz=286;melanie-exygy=212;rockycodes=185;elisekalstad=177;auzlee=166;ssandbekkhaug=156;tallulahkay=136;bion=135;shanemc-goog=111;shreyachatterjee00=102;swatkat1=98;nb1701=96;greg-hyde=84;shane-exygy=67;azizova-leyla=65;cassandralfernandes=64;jeanniefu=64;msprenke=61;sijiayam=59;Miguel-314=54;azhangggggg=49;caitlinshk=47;kendrickt=45;reemaka=45;goldblatt=43;carolinedanzi=40;isabelcshaw=40;glorialiou=39;michaelzetune=39;nbeloglazov=37;clouser2=36;tlimsonoda=34;natsid=33;ldinhcos=33;EmiliaPaz=33;shubha-rajan=31;haltmar=31;AlvieH=26;gcapiel=25;seanmalbert=22;watermandrewc=22;kristinyim=20;devin-civi=20;ezraeinhorn624=18;jeffpw-goog=17;leonwong=16;orwant=16;lftaylor2023=15;plabanTest1=15;osajulian-dev=15;lianne-oy=14;lindsayzad=14;yotommy=14;lagosr-google=14;nat-henderson=13;avrittrohwer=13;kpeterson-exygy=13;paripatel07=12;zaralouis-sf=10;rasmi=10;codekarma=10;ekalstad=10;jessbumblebee=9;tinkelperson=8;hmhsu=7;cynthia-x-shi=7;sussman=6;jcma-google=6;jnowell=6;ettengererin=5;jessborland=5;inghamn=5;jhvhs-bloom=5;wukimmy=5;fernandez-jack=5;sarahlinnl=4;megan0422=4;kencenerelli=3;ialv44=3;syntapy=3;carchy-1=3;sxyao33=3;emilytheis=3;kmcnellis=2;renovate[bot]=2;sibow=2;sophiatareen=2;mferhut=2;Miguel-Seattle=2;cityofseattle-googlefellowship=1;AWBaumann=1;Chris-Boe=1;daves-office=1;irodrisa=1;ckirksey3=1;melissakessler=1;bpq-g=1;Peggy-Liao=1;jonpayne-lgtm=1;aieshaosman=1;myfriendgu=1,bion=321;neel-a-mehta=232;gwendolyngoetz=94;dkatzz=91;rockycodes=86;clouser2=78;nb1701=67;kendrickt=66;melanie-exygy=65;reemaka=55;azizova-leyla=55;nat-henderson=51;nbeloglazov=49;swatkat1=46;auzlee=45;carolinedanzi=43;shanemc-goog=43;goldblatt=43;msprenke=37;michaelzetune=36;elisekalstad=28;lianne-oy=26;shreyachatterjee00=26;natsid=24;cassandralfernandes=24;jeanniefu=23;hmhsu=19;rasmi=17;AWBaumann=16;kristinyim=15;shubha-rajan=15;caitlinshk=14;avrittrohwer=14;yotommy=13;leonwong=12;lindsayzad=11;greg-hyde=11;zaralouis-sf=10;seanmalbert=10;kmcnellis=8;azhangggggg=7;gcapiel=6;ettengererin=6;th174=4;isabelcshaw=4;ckirksey3=3;devin-civi=3;Miguel-314=3;ezraeinhorn624=2;tjbanghart=2;jessbumblebee=2;zarifzm=2;ldinhcos=2;EmiliaPaz=2;Snackeroo=1;kpeterson-exygy=1;sussman=1;syntapy=1;tallulahkay=1;glorialiou=1;arielwainer=1;ssandbekkhaug=1;YazeedLoonat=1;shane-exygy=1;codekarma=1;tlimsonoda=1;elliotgreenlee=1
codeforamerica/asap_pdf,4,3,1,2.5,7.1,4,1,lkacenja=1;mgifford=1;raybellwaves=1;jrichview=1,xdotcommer=1
codeforamerica/cmr-maryland-eligibility-determination,0,0,0,,,0,0,,
codeforamerica/document-transfer-service,1,1,0,0,,1,0,jamesiarmes=1,
codeforamerica/form-flow,0,0,0,,,0,0,,
codeforamerica/honeycrisp-gem,155,49,106,1.34,44.49,22,15,hartsick=43;racheledelman=29;bengolder=26;cy-by=9;anule=8;norrishung=6;luigi=6;lkogler=5;mrotondo=4;disambiguator=3;wschaefer-cfa=2;bensheldon=2;tgrathwell=2;ash-rc=2;ondrae=1;SymonneSingleton=1;jenny-heath=1;notfelineit=1;bytheway875=1;alaroia-cfa=1;arinchoi03=1;powersurge360=1,hartsick=46;cy-by=21;lkogler=14;bengolder=6;racheledelman=4;ash-rc=3;mrotondo=2;bensheldon=2;wschaefer=2;anule=1;SymonneSingleton=1;luigi=1;spokenbird=1;tgrathwell=1;arinchoi03=1
codeforamerica/pya,0,0,0,,,0,0,,
codeforamerica/recordtrac,149,65,84,0.97,26.45,17,6,SheilaLDugan=68;criscristina=35;cydharrell=20;richaagarwal=8;migurski=3;spjika=2;andyhull=2;jmadans=2;jpmckinney=1;eddietejeda=1;nneditch=1;guelo=1;yesezra=1;gsf=1;daguar=1;metrix78=1;mitchelljkotler=1,richaagarwal=55;criscristina=23;SheilaLDugan=3;jpmckinney=1;gsf=1;daguar=1
codeforamerica/tax-benefits-backend,0,0,0,,,0,0,,
codeforamerica/tofu-modules-aws-serverless-database,0,0,0,,,0,0,,
codeforamerica/vita-min,3,0,3,0,0.03,2,2,bengolder=2;martha-brandt=1,bengolder=2;martha-brandt=1
codeforjapan/BirdXplorer,107,4,103,0.59,40.85,8,7,yu23ki14=65;osoken=28;sushichan044=6;ayuki-joto=4;kota-yata=1;iazzenma=1;sitopp=1;devin-ai-integration[bot]=1,yu23ki14=74;osoken=17;ayuki-joto=8;kota-yata=1;iazzenma=1;NEKOYASAN=1;sushichan044=1
fvialibre/edia,0,0,0,,,0,0,,
fvialibre/heseia-sentence-bias-dataset,0,0,0,,,0,0,,
